"Cassandra","Distributed wide column NoSQL store developed at Facebook before becoming Apache project"
"kubectl exec -it my-pod -- bash","Kubectl command to run bash in pod my-pod"
"kubectl cp my-pod:/app/foo.txt ./foo.txt","Kubectl command to copy /app/foo.txt from pod my-pod to ./foo.txt"
"kubectl port-forward my-pod 8080:80","Kubectl command to map the port 8080 inside my-pod to external-facing port 80"
"trust policies (IAM)","Describe which principals or AWS services are allow to assume an IAM role."
"permission policies (IAM)","When attached to an IAM role, this grants access to specific actions on specific resources or services."
"roles (IAM)","An IAM entity assumed by trusted entities (person or application) that grants access to services or resources (as defined by associated policies)."
"principal entity (IAM)","A person or application (via user or role) that is authenticated using an IAM entity"
"Helm","Kubernetes package manager"
"Chart (Helm)","Name for a Helm package. Combines k8s resources and values."
"Release (Helm)","Instance of a Helm chart running in a k8s cluster."
"Helm Hub","central Helm registry of community chart repos."
"Manifest (k8s)","Declarative definitions of Kubernetes resources (e.g., Pods), usually version controlled."
"Kubelet (k8s)","Daemon process running on Kubernetes node that monitors Pod health."
"Liveness vs readiness checks (k8s)","____ determines whether a k8s pod is still functioning properly, whereas ____ determines whether a k8s pod is available yet."
"emptyDir volume (k8s)","Temporary volume scope to k8s Pods' lifespan. Survives container restarts."
"docker pull docker/whalesay","Command to download the docker/whalesay image"
"docker run docker/whalesay cowsay 'hello world'","Command to run cowsay 'hello world' in docker/whalesay container"
"docker build -t foo .","Command to build a docker image from current directory with name/tag foo"
"docker tag <source-name>[:<source-tag>] <repo>/path/<dest-name>[:<dest-tag>]","Docker command to create a tagged target image from a source image"
"docker push <repo> <name>:<tag>","Command to push Docker to a repository"
"3 steps to upload Docker image to repo","1) docker login <repo>; 2) docker tag ...; 3) docker push ..."
"Minikube","lightweight k8s implementation running on a single-node cluster inside VM on personal computer"
"Pod (k8s)","A set of 1+ k8s containers running on a single node."
"Deployment (k8s)","This is used to deploy a k8s ReplicaSet"
"ReplicaSet (k8s)","Defines a set of k8s pods, with given number of replicas"
"Service (k8s)","Exposes a set of k8s Pods (using a label selector) as a network service"
"NodePort (k8s)","Most basic type of K8s service that exposes service outside cluster"
"LoadBalancer (k8s)","Type of K8s service that creates a load balancer with public IP"
"clusterIP (k8s)","Special, stable virtual IP that K8s is able to load balance."
"ssh <ip> -L 8080:localhost:80","Command to create SSH tunnel to remote site so can access <ip>:8080 at localhost:80"
"kubelet","process running on k8s node for communicating with master node"
"network address translation (NAT)","method of remapping IP address space into another by modifying network address info in IP header of packets in transit"
"IP masquerading","Application of NAT to hide entire IP address space behind single IP address. Used to conserve IPv4 addresses."
"port forwarding","Application of NAT to redirect communication from one address & port to another."
"snowflake server","server that's manually managed, resulting in unique configurations and often difficult to manage"
"sidecar","container executing concurrently in same pod as another container"
"optimistic locking","check whether resource was updated by someone else prior to updating"
"pessimistic locking","access exclusive lock right before updating"
"Linux control groups (cgroups)","Linux kernel feature to limit & isolate resource usage for a collection of processes"
"overlay filesystem","series of filesystem layers, where each subsequent layer adds, removes, modifies files"
"multistage builds (docker)","Instead of building a single Docker image, builds several separate images. Used to avoid bloating the final image."
Amazon Prime Air,Amazon's drone service delivering up to 5lbs in 30min.
ATDD,Acceptance Test Driven Design (acronym)
WireMock,"Open Source service virtualization tool that can run within application or as standalone process. Provides HTTP stubbing, matchable on URL, header and body content patterns."
WSJF,Weighted Shortest Job First (acronym)
JPA,Java Persistance API (acronym). Specification of persisting data to/from object to db.
Spring Boot,Opinionated framework for creating stand-along Spring applications. Generates starter project.
Spring Data,"Purpose of this Spring project is to unify & ease access for Java applications to different persistance stores. Provides templating, object/data store mapping."
Agilecraft,"The old name of the project that was renamed to ""JIRA Align""."
exponential decay,"Mathematically, when quantity is subject to decrease at rate proportional to current value, based on some rate. Can be used to model tech team productivity as accumulates support, ultimately declining to zero."
WebSocket,"full-duplex communications protocol standardized by W3C designed to be compatible with HTTP, enabling communication between web browser and web server."
MSK,Managed Streaming for Kafka (acronym). Amazon's managed Kafka service.
Gradle,Multilanguage build tool using Groovy-based DSL to define DAGs of task dependencies. Adopted by Google for Android.
Maven: build lifecycle,"Made up of phases, this is the Maven process for building & distributing particular artifact."
Maven: phase,"Step in Maven lifecycle, made up of goals."
"default, clean, site",Maven's three default build-in lifecycles.
Maven: verify,Phase of Maven's default lifecycle used to enforce predefined checkstyle rules.
Maven: plugins,Artifacts that provide 1+ goals to Maven.
Maven: architype,Template used to produce working Maven project.
Surefire plugin,"Plugin used by Maven during test phase to find and run tests, generating reports in target/ directory."
POM,Project Object Model (acronym). Used for specifying Maven project.
AsciiDoc,"Format used for writing different types of docs (books, web pages, man pages, etc), often with .adoc file extension."
AsciiDoctor,Open Source toolchain for converting AsciiDoc to various formats.
AsciiDoctorJ,JVM bindings for AsciiDoctor.
JMeter,Apache Java-based load testing tool (with focus on web applications)
Fargate,AWS managed service that automatically provisions ECS or EKS resources.
Big Sur,Name for MacOS 11.4 release
goal of ZooKeeper,providing a service that mitigates the problem of coordinating processes in distributed applications
ZooKeeper: wait-free data objects,All requests to read data from servers is read locally from memory and returned immediately
linearizable writes,Guaranteed order of all write operations across nodes or threads.
Zab,Leader-based atomic broadcast protocol used by ZooKeeper for all writes.
ZooKeeper: znode,An in-memory data node in the ZooKeeper server.
ZooKeeper: slow read,"In ZooKeeper, pattern where client requests sync followed by read to ensure all outstanding writes are completed before reading data."
herd effect,"when many clients are waiting to acquire a resource (e.g., a lock), even when only one client can acquire the resource. wasteful."
ZooKeeper: leader,ZooKeeper server to which all write requests are forwarded. This server atomically broadcasts writes to all servers in cluster.
ZooKeeper: follower,"ZooKeeper server that can locally handle all read requests from memory, but forwards write requests to leader. Each client connects to only one of these for all requests."
ZooKeeper: fuzzy snapshots,"Because ZooKeeper does not lock state to take snapshots, the snapshots may be in inconsistent state. However, because data is idempotent and servers replay events since start of snapshot, not a problem."
ZooKeeper: coordination kernel,"Instead of implementing coordination primatives, ZooKeeper provides functionality to allow services to compose their own primatives."
"double buffering","Using multiple buffers (say, file page cache and head-space caching). Can be useful (e.g., graphics), or can be wasteful or unintended."
"sendfile API","API feature of Limnux to directly transfer bytes from file channel to a socket channel. Used by Kafka for efficiency."
"Kafka: consumer groups","A feature of Kafka where a group of one or more consumers jointly consume a set of subscribed topics, with each message only delivered to one consumer."
"Kafka: 4 registries stores in Zookeeper","broker registry, consumer registry, ownership registry, offset registry"
"Kafka: broker registry","Ephemeral znode in Zookeeper for storing Kafka data on each broker's host name, port, topics, and partitions."
"Kafka: consumer registry","Ephemeral znode in Zookeeper for storing Kafka data listing consumer groups and associated topics"
"Kafka: ownership registry","Ephemeral znode in Zookeeper for storing Kafka data on a given consumer group, mapping consumers to partitions"
"Kafka: offset registry","Persistent znode in Zookeeper for storing Kafka data on the offset for the last consumed message in the partition for each subscribed partition."
"CRC","Cyclic redundancy check. (acronym) Error detection code used to detect accidental changes to data."
"parameterized tests","Separate test implementation from data, mitigating test code duplication."
"cyclomatic complexity","Calculating complexity of code by counting the decision points within a block of code. Any score about 10 is considered complex."
"Gherkin","Given-When-Then language used for BDD frameworks."
"Karate library","BDD-style OSS tool to test APIs."
"database migrations","Tool-supported (e.g., Flyway) process of applying sequence of database changes consistently across all software environments."
"userscripts","Program (usually written in JavaScript) for augmenting web pages to augment browsers."
"Tampermonkey","Multi-browser plugin for running userscripts."
"Amazon EventBridge","Amazon's declarative, serverless event bus."
